bug_id,error_inducing
1197534,False
1197538,False
1126562,False
1080904,False
1080909,False
1246680,False
1271609,False
1271606,False
1271607,False
1159378,False
1245139,False
1246536,False
1134667,False
1266077,False
1227810,False
1227813,False
1165184,True
1073113,False
1174204,False
1073117,True
1219820,False
1219821,False
1074832,False
1074833,False
1074835,False
1074836,False
1125030,False
1169241,False
1132501,False
1132502,False
1165458,False
1265772,False
1165456,True
1220898,False
1135047,False
1220895,False
1135040,False
1220897,False
1135042,True
1272647,False
1275614,False
1224394,False
1109888,False
1109889,False
1109886,False
1104875,False
1109884,False
1109883,True
1272649,False
1262368,False
1179242,False
1262361,False
1262363,False
1179249,False
1175556,False
1233191,False
1256065,False
1222943,False
1287310,False
1259916,False
1259911,False
1229577,False
1176112,False
1131749,True
1229579,False
1187386,True
1187385,False
1136533,False
1268044,False
1274567,False
1222496,False
1222495,False
1222499,False
1244982,False
1129834,False
1048615,False
1126820,False
1263090,False
1234147,False
1260218,False
1138590,False
1138591,False
1048618,False
1144397,False
1144392,False
1042479,False
1144398,True
1118430,False
1118432,False
1140890,False
1072933,False
1072932,False
1072930,False
1105088,False
1105089,False
1279618,False
1243839,False
1279611,False
1279613,False
1279614,False
1279617,False
1266680,False
1266685,False
1157941,False
1222235,False
1157944,False
1157946,False
1149626,False
1106669,True
1100562,False
1269797,False
1248771,False
1063889,False
1269790,False
1063880,False
1063883,False
1275938,False
1287132,False
1246399,False
1219004,False
1275939,False
1182865,False
1043706,False
1182866,False
1043701,False
1144005,False
1186528,False
1256576,False
1098145,False
1177790,False
1264017,False
1226801,False
1119472,False
1252304,False
1119475,False
1147156,False
1249167,False
1147153,False
1075686,False
1108917,True
1108916,False
1214200,False
1094827,False
1103032,True
1094821,False
1146827,False
1103036,True
1210180,False
1210182,True
1101769,False
1210189,False
1218750,False
1288817,False
1288812,False
1061625,False
1066934,False
1066935,False
1253617,False
1253610,False
1136291,False
1136292,False
1074485,False
1190316,False
1074486,False
1170226,False
1195209,False
1070308,False
1211580,False
1073652,False
1073654,False
1073656,False
1162243,True
1191044,False
1210232,False
1191042,True
1191040,False
1204585,False
1204584,False
1258883,False
1204581,True
1204580,False
1258887,False
1107645,False
1180166,False
1254390,False
1254393,False
1254392,False
1174205,False
1074158,False
1158658,False
1158651,False
1282141,False
1191597,False
1059749,False
1105867,False
1105861,False
1293551,False
1092287,False
1180290,True
1058297,False
1255823,False
1091953,False
1266309,False
1180299,False
1266304,False
1091959,False
1093883,False
1093880,True
1143706,False
1143704,True
1155455,False
1097507,True
1097506,True
1280954,False
1213742,False
1269915,False
1213747,False
1216171,False
1216177,False
1291988,False
1145701,False
1145700,False
1145702,False
1291986,False
1236754,False
1290056,False
1161913,False
1272332,False
1287456,False
1280485,False
1255934,False
1162530,False
1167721,False
1167720,False
1063414,False
1190522,False
1196062,False
1067042,False
1196065,False
1196066,True
1279918,False
1088660,False
1190526,False
1152106,False
1152104,False
1152109,False
1049484,False
1248185,False
1120753,True
1091227,False
1049488,False
1091229,False
1286506,False
1103859,False
1099032,False
1115379,False
1115375,False
1115374,False
1153477,False
1286509,False
1212693,False
1202320,False
1201660,False
1089049,True
1201664,False
1089045,True
1089046,False
1089040,False
1169611,True
1169613,False
1067911,False
1249798,False
1068725,False
1160972,False
1160971,True
1248974,False
1248978,False
1248979,False
1192769,False
1237146,False
1237145,False
1237141,False
1237140,False
1161372,False
1228952,True
1197739,True
1197734,False
1225233,False
1239479,False
1203748,False
1251133,False
1227727,False
1203743,False
1167544,False
1203744,False
1194422,True
1194426,False
1194424,True
1209471,False
1122445,False
1256559,False
1051020,False
1122446,False
1285768,False
1256558,False
1288696,False
1180350,False
1121935,False
1082745,False
1050372,False
1236364,False
1050376,True
1256555,False
1205962,False
1160398,False
1174046,False
1168566,False
1127198,True
1174043,False
1056795,True
1284007,False
1056796,False
1147830,False
1084598,False
1147834,True
1147839,False
1065518,False
1082299,False
1138818,False
1085247,False
1160023,False
1199678,False
1160027,False
1116056,True
1194282,False
1284838,False
1280105,False
1280104,False
1280107,False
1280106,False
1051689,True
1238786,False
1288730,False
1288736,False
1165611,False
1165610,False
1165613,False
1195777,False
1230207,False
1289467,False
1289468,False
1272640,False
1230209,True
1057688,False
1057689,False
1238430,False
1163614,False
1057680,False
1238438,False
1213150,False
1191900,False
1153309,False
1191907,False
1191909,False
1050083,False
1175794,False
1050081,False
1050080,False
1050085,False
1055260,False
1055261,False
1109574,False
1109571,True
1291045,False
1049501,False
1125138,False
1083167,False
1086530,False
1257265,False
1257262,False
1086539,False
1281275,False
1281276,False
1178018,False
1172076,False
1173305,False
1173307,False
1173301,False
1108455,False
1262367,False
1239864,True
1189980,False
1117098,True
1117099,False
1225603,False
1237963,False
1237962,False
1225605,False
1152964,False
1042672,False
1128987,False
1042675,False
1071233,False
1128989,False
1185653,False
1117933,False
1179657,False
1147656,False
1265860,False
1241078,False
1124268,False
1257516,False
1271067,False
1228182,False
1124261,False
1234439,False
1264085,False
1261018,False
1261012,False
1261013,False
1261011,False
1110476,False
1149420,False
1110478,False
1174829,False
1140709,False
1174821,False
1223520,False
1223523,False
1223529,False
1186299,False
1247459,False
1208464,False
1208465,False
1247452,False
1247450,False
1042797,False
1274158,False
1274152,False
1245765,True
1177558,False
1248861,True
1181418,False
1181411,False
1181413,False
1045948,False
1219572,False
1045945,False
1045940,True
1219574,False
1296301,False
1296309,False
1249920,False
1237097,False
1075444,False
1272870,False
1278816,False
1278818,False
1115638,False
1081157,False
1081156,False
1262094,False
1081158,False
1260820,False
1260825,False
1241128,False
1249278,False
1241126,False
